location,district,rooms,size,level,max_levels,price,psp
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Mirzo-Ulugʻbek,3,95.0,5,5,50000.0,526.3157894736842
"город Ташкент, Юнусабадский район, Кашгар",Yunusobod,2,53.0,1,9,68000.0,1283.0188679245282
"город Ташкент, Олмазорский район, Карасарайская",Olmazor,2,72.0,4,9,41500.0,576.3888888888889
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Mirzo-Ulugʻbek,3,65.0,4,5,41500.0,638.4615384615385
"город Ташкент, Юнусабадский район, ц-4 Кашгар (Ц-4) ",Yunusobod,4,82.0,1,4,86000.0,1048.780487804878
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,1,42.0,3,9,25500.0,607.1428571428571
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,2,54.0,4,4,31500.0,583.3333333333334
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,1,42.0,1,4,26500.0,630.952380952381
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,1,20.0,3,9,14500.0,725.0
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,2,45.0,4,4,45000.0,1000.0
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,1,46.0,2,5,30000.0,652.1739130434783
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,2,50.0,2,4,34500.0,690.0
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,1,36.0,2,4,27000.0,750.0
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Uchtepa,4,80.0,6,9,59500.0,743.75
"город Ташкент, Учтепинский район, Кизил Шарк",Uchtepa,3,72.0,3,9,48000.0,666.6666666666666
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Uchtepa,4,78.0,5,5,47299.0,606.3974358974359
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Chilonzor,2,46.0,4,5,37000.0,804.3478260869565
"город Ташкент, Чиланзарский район, Чиланзар-8",Chilonzor,2,60.0,2,4,38000.0,633.3333333333334
"город Ташкент, Олмазорский район, 15-й проезд Сагбан",Olmazor,2,58.0,5,9,29500.0,508.62068965517244
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Chilonzor,2,70.0,2,7,56000.0,800.0
"город Ташкент, Яккасарайский район, 1-й проезд Мукими",Yakkasaroy,2,68.0,6,9,45000.0,661.7647058823529
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,4,100.0,3,5,61500.0,615.0
"город Ташкент, Чиланзарский район, Мукими",Chilonzor,3,68.0,5,5,46500.0,683.8235294117648
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,70.0,4,12,51000.0,728.5714285714286
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Chilonzor,3,90.0,5,9,58400.0,648.8888888888889
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Chilonzor,3,60.0,5,5,47000.0,783.3333333333334
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,4,80.0,5,5,52500.0,656.25
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,3,74.0,3,5,50000.0,675.6756756756756
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Chilonzor,2,48.0,2,5,41500.0,864.5833333333334
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Chilonzor,4,94.0,9,9,45000.0,478.72340425531917
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,3,65.0,4,9,47500.0,730.7692307692307
"город Ташкент, Чиланзарский район, Наккашлык",Chilonzor,4,85.0,3,4,52500.0,617.6470588235294
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,1,42.0,5,5,26000.0,619.047619047619
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,4,110.0,3,4,105000.0,954.5454545454545
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Uchtepa,3,70.0,4,4,42000.0,600.0
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Chilonzor,3,68.0,2,5,53500.0,786.7647058823529
"город Ташкент, Яккасарайский район, Кушбеги",Yakkasaroy,2,48.0,5,9,23000.0,479.1666666666667
"город Ташкент, Яшнободский район, Ташсельмаш",Yashnobod,1,20.0,3,3,12500.0,625.0
"город Ташкент, Мирабадский район, Тараса Шевченко",Mirabad,3,110.0,4,7,107000.0,972.7272727272727
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,2,46.0,3,4,35000.0,760.8695652173913
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,4,125.0,5,5,70000.0,560.0
"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Mirzo-Ulugʻbek,2,72.0,18,19,55000.0,763.8888888888889
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Mirzo-Ulugʻbek,2,64.67,7,9,39414.0,609.4634297201175
"город Ташкент, Юнусабадский район, Чинабад",Yunusobod,2,70.0,4,9,60000.0,857.1428571428571
"город Ташкент, Юнусабадский район, Киёт",Yunusobod,1,50.0,7,9,37000.0,740.0
"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Mirzo-Ulugʻbek,2,51.0,2,4,49000.0,960.7843137254902
"город Ташкент, Мирзо-Улугбекский район, Феруза",Mirzo-Ulugʻbek,1,22.0,1,2,18000.0,818.1818181818181
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Chilonzor,2,54.0,1,4,42500.0,787.0370370370371
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Chilonzor,1,30.0,3,5,34500.0,1150.0
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,1,42.0,5,9,37000.0,880.952380952381
"город Ташкент, Яккасарайский район, Тафаккур",Yakkasaroy,3,70.0,2,4,70000.0,1000.0
"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Shayxontohur,3,68.0,2,4,45800.0,673.5294117647059
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,1,30.0,4,4,24000.0,800.0
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Uchtepa,1,52.0,1,4,58000.0,1115.3846153846155
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Chilonzor,4,72.0,4,4,55500.0,770.8333333333334
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Chilonzor,4,76.0,2,4,68000.0,894.7368421052631
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,2,48.0,4,4,31000.0,645.8333333333334
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Chilonzor,2,66.0,3,9,47000.0,712.1212121212121
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,3,60.0,3,5,47000.0,783.3333333333334
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,2,37.0,1,4,41000.0,1108.1081081081081
"город Ташкент, Мирзо-Улугбекский район, Муминова",Mirzo-Ulugʻbek,1,40.0,3,4,24000.0,600.0
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Yunusobod,2,61.0,1,4,55000.0,901.639344262295
"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Chilonzor,1,32.0,2,4,28500.0,890.625
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Chilonzor,3,65.0,4,4,42000.0,646.1538461538462
"город Ташкент, Учтепинский район, Чупон-Ота",Uchtepa,3,66.0,2,5,67000.0,1015.1515151515151
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Chilonzor,3,70.0,4,4,46500.0,664.2857142857143
"город Ташкент, Чиланзарский район, Катта козиробод",Chilonzor,3,66.0,4,4,50500.0,765.1515151515151
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,3,65.0,1,4,40000.0,615.3846153846154
"город Ташкент, Яшнободский район, 1-й проезд Иззат",Yashnobod,1,37.0,5,8,13071.0,353.27027027027026
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Mirzo-Ulugʻbek,2,69.65,4,9,45188.0,648.7867910983489
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,4,88.0,4,5,53000.0,602.2727272727273
"город Ташкент, Яккасарайский район, Кушбеги",Yakkasaroy,1,38.0,2,5,25600.0,673.6842105263158
"город Ташкент, Мирабадский район, Госпитальный",Mirabad,2,61.0,6,9,52000.0,852.4590163934427
"город Ташкент, Мирзо-Улугбекский район, Навнихол",Mirzo-Ulugʻbek,2,45.0,3,7,44000.0,977.7777777777778
"город Ташкент, Сергелийский район, Сергели-VII",Sergeli,3,69.0,2,9,40000.0,579.7101449275362
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Mirzo-Ulugʻbek,2,55.13,5,9,35226.0,638.9624523852711
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Chilonzor,3,67.0,4,4,54000.0,805.9701492537314
"город Ташкент, Шайхантахурский район, 1-й проезд Генерала Узакова",Shayxontohur,1,38.0,5,5,22500.0,592.1052631578947
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Mirzo-Ulugʻbek,2,67.0,2,4,36500.0,544.776119402985
"город Ташкент, Яккасарайский район, пр-т Бабура",Yakkasaroy,2,54.0,4,9,40000.0,740.7407407407408
"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Chilonzor,2,58.0,1,9,35000.0,603.448275862069
"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Mirabad,4,100.0,5,8,142000.0,1420.0
"город Ташкент, Чиланзарский район, Мукими",Chilonzor,4,90.0,4,5,52000.0,577.7777777777778
"город Ташкент, Олмазорский район, ул  ХУРРИЯТ 75",Olmazor,3,91.0,3,3,85000.0,934.065934065934
"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Shayxontohur,4,111.0,7,8,110000.0,990.990990990991
"город Ташкент, Сергелийский район, Сергели 6 А дом 9 кв 53",Sergeli,2,54.0,6,7,36000.0,666.6666666666666
"город Ташкент, Яшнободский район, жилой комплекс У.М. Шахидов 58-й городок",Yashnobod,3,69.0,5,5,52000.0,753.6231884057971
"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Yunusobod,5,107.0,5,5,50000.0,467.2897196261682
"город Ташкент, Мирзо-Улугбекский район, Массив А. Югнакий",Mirzo-Ulugʻbek,3,80.0,2,5,55000.0,687.5
"город Ташкент, Юнусабадский район, Юнусабад 4 квартал",Yunusobod,2,63.0,5,9,42000.0,666.6666666666666
"город Ташкент, Мирабадский район, Жемчуг",Mirabad,3,74.0,5,16,69000.0,932.4324324324324
"город Ташкент, Яшнободский район, 40 лет тузел-3 Франция",Yashnobod,2,58.0,5,5,28900.0,498.2758620689655
"город Ташкент, Мирзо-Улугбекский район, Паркентский",Mirzo-Ulugʻbek,2,62.0,9,9,34000.0,548.3870967741935
"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Mirzo-Ulugʻbek,3,107.0,2,8,85000.0,794.392523364486
"город Ташкент, Олмазорский район, ТашПИ",Olmazor,1,40.41,2,4,25000.0,618.6587478346944
"город Ташкент, Чиланзарский район, Мирзо Улуғбек метро",Chilonzor,2,54.0,2,4,39000.0,722.2222222222222
"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Mirzo-Ulugʻbek,1,40.0,1,4,60000.0,1500.0
"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Mirzo-Ulugʻbek,2,50.0,1,5,36500.0,730.0
"город Ташкент, Яшнободский район, Мавлоно Риёзи",Yashnobod,3,75.0,5,9,42000.0,560.0
"город Ташкент, Мирзо-Улугбекский район, Паркент",Mirzo-Ulugʻbek,3,84.0,7,8,85000.0,1011.9047619047619
"город Ташкент, Мирзо-Улугбекский район, Ирригатор",Mirzo-Ulugʻbek,3,117.0,2,5,125000.0,1068.3760683760684
"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Mirzo-Ulugʻbek,3,70.0,5,5,37000.0,528.5714285714286
"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Mirzo-Ulugʻbek,1,47.0,2,9,42000.0,893.6170212765958
"город Ташкент, Чиланзарский район, Чиланзар-17",Chilonzor,2,56.0,2,5,36000.0,642.8571428571429
"город Ташкент, Чиланзарский район, Чиланзар-16",Chilonzor,1,42.0,3,9,28000.0,666.6666666666666
"город Ташкент, Чиланзарский район",Chilonzor,2,60.0,5,9,34000.0,566.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар-6",Chilonzor,1,32.0,2,5,28500.0,890.625
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,1,42.0,2,5,28500.0,678.5714285714286
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,2,60.0,2,9,34500.0,575.0
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,2,54.0,1,4,34500.0,638.8888888888889
"город Ташкент, Чиланзарский район, Чиланзар-9",Chilonzor,1,42.0,1,5,25500.0,607.1428571428571
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,2,60.0,2,9,43500.0,725.0
"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Mirabad,2,72.0,7,9,63000.0,875.0
"город Ташкент, Яшнободский район, Городок Авиастроителей-4",Yashnobod,3,80.0,1,4,39999.0,499.9875
"город Ташкент, Чиланзарский район, Кошчинар",Chilonzor,1,33.0,2,4,24500.0,742.4242424242424
"город Ташкент, Юнусабадский район, Улица Янги Юнусобод",Yunusobod,2,61.0,3,5,41000.0,672.1311475409836
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Mirzo-Ulugʻbek,4,187.0,2,5,210000.0,1122.9946524064171
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Mirzo-Ulugʻbek,2,63.0,5,5,36000.0,571.4285714285714
"город Ташкент, Олмазорский район, Себзар",Olmazor,2,60.0,5,5,34000.0,566.6666666666666
"город Ташкент, Чиланзарский район, Торговый центр",Chilonzor,1,29.0,2,4,23000.0,793.1034482758621
"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Mirzo-Ulugʻbek,2,63.0,5,5,36000.0,571.4285714285714
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Uchtepa,2,48.0,4,5,28500.0,593.75
"город Ташкент, Мирзо-Улугбекский район, Массив ТТЗ-4",Mirzo-Ulugʻbek,1,11.0,3,9,7500.0,681.8181818181819
"город Ташкент, Чиланзарский район, Корзинка",Chilonzor,2,45.0,4,4,47000.0,1044.4444444444443
"город Ташкент, Олмазорский район, обводная  Нурафшон",Olmazor,4,122.0,5,5,95000.0,778.688524590164
"город Ташкент, Юнусабадский район, Киёт",Yunusobod,1,42.0,2,4,44000.0,1047.6190476190477
"город Ташкент, Мирзо-Улугбекский район, Шастри",Mirzo-Ulugʻbek,2,50.0,1,4,45000.0,900.0
"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Mirzo-Ulugʻbek,5,100.0,4,4,48000.0,480.0
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Mirzo-Ulugʻbek,2,60.0,4,4,32000.0,533.3333333333334
"город Ташкент, Яккасарайский район, Баходыра",Yakkasaroy,3,119.0,3,9,106675.24515842601,896.4306315834118
"город Ташкент, Яккасарайский район, Шота Руставели",Yakkasaroy,2,50.0,2,4,47000.0,940.0
"город Ташкент, Мирзо-Улугбекский район, Дархан",Mirzo-Ulugʻbek,3,78.0,5,9,70500.0,903.8461538461538
"город Ташкент, Яккасарайский район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Yakkasaroy,4,164.0,5,6,170000.0,1036.5853658536585
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Mirzo-Ulugʻbek,2,60.0,3,5,30500.0,508.3333333333333
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,1,42.0,2,4,26000.0,619.047619047619
"город Ташкент, Чиланзарский район, Чиланзар-6",Chilonzor,3,70.0,4,4,37500.0,535.7142857142857
"город Ташкент, Чиланзарский район, Метро Мирзо Улугбек",Chilonzor,1,35.0,1,5,26500.0,757.1428571428571
"город Ташкент, Чиланзарский район, Чиланзар-7",Chilonzor,2,47.0,2,4,32000.0,680.8510638297872
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,1,36.0,2,5,26500.0,736.1111111111111
"город Ташкент, Чиланзарский район, Чиланзар-10",Chilonzor,2,50.0,2,5,34500.0,690.0
"город Ташкент, Чиланзарский район, Чиланзар-6",Chilonzor,2,52.0,2,4,36500.0,701.9230769230769
"город Ташкент, Яшнободский район, Оханграбо",Yashnobod,2,46.0,2,4,24500.0,532.6086956521739
"город Ташкент, Чиланзарский район, Чиланзар-8",Chilonzor,3,92.0,3,9,42500.0,461.95652173913044
"город Ташкент, Чиланзарский район, Чиланзар",Chilonzor,3,70.0,1,4,46000.0,657.1428571428571
"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Yunusobod,3,70.0,2,4,38500.0,550.0
"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Mirzo-Ulugʻbek,2,60.0,7,8,36000.0,600.0
"город Ташкент, Мирзо-Улугбекский район, Буз 2",Mirzo-Ulugʻbek,2,55.0,3,5,35000.0,636.3636363636364
"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Mirzo-Ulugʻbek,2,63.0,4,9,55500.0,880.952380952381
"город Ташкент, Яккасарайский район, Бабура",Yakkasaroy,2,89.0,4,12,81772.0,918.7865168539325
"город Ташкент, Яккасарайский район, Бабура",Yakkasaroy,1,55.0,1,12,50533.0,918.7818181818182
"город Ташкент, Мирзо-Улугбекский район, Ул.Кора Ниязова",Mirzo-Ulugʻbek,3,100.0,2,6,119000.0,1190.0
"город Ташкент, Мирзо-Улугбекский район, Ахмад Югнаки",Mirzo-Ulugʻbek,4,208.0,2,3,93000.0,447.11538461538464
"город Ташкент, Чиланзарский район, Учтепинский район массив Чиланзар 11-й квартал",Chilonzor,1,35.0,1,4,23800.0,680.0
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,2,44.0,3,4,32900.0,747.7272727272727
"город Ташкент, Янгихаётский район, Сергели 9а",Yangihayot,2,61.0,3,7,36000.0,590.1639344262295
"город Ташкент, Яшнободский район, Массив Риёзи",Yashnobod,4,100.0,2,9,65000.0,650.0
"город Ташкент, Чиланзарский район, Чиланзар 8 квартал",Chilonzor,1,35.0,1,4,29800.0,851.4285714285714
"город Ташкент, Мирзо-Улугбекский район, Газалкент",Mirzo-Ulugʻbek,4,86.0,3,5,63000.0,732.5581395348837
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Mirzo-Ulugʻbek,3,100.0,1,5,80000.0,800.0
"город Ташкент, Олмазорский район, 1-й проезд Чилтугон",Olmazor,5,110.0,5,5,63500.0,577.2727272727273
"город Ташкент, Мирабадский район, ЦУМ (Ц-7) ",Mirabad,3,75.0,6,9,110000.0,1466.6666666666667
"город Ташкент, Олмазорский район, ц-17, ц-18 Себзар (ц-17, ц-18) ",Olmazor,3,70.0,1,5,62000.0,885.7142857142857
